As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2020-09-03,2,2,-,The Smurfs,Movie,,"Sep 1, 2020",2,18
2020-09-04,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",7,70
2020-09-04,2,2,-,The Smurfs,Movie,,"Sep 1, 2020",3,27
2020-09-05,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",8,80
2020-09-05,2,3,-,"Love, Guaranteed",Movie,Yes,"Sep 3, 2020",2,17
2020-09-06,1,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",9,90
2020-09-06,2,4,-,Away,TV Show,Yes,"Sep 4, 2020",2,16
2020-09-07,1,2,-,Away,TV Show,Yes,"Sep 4, 2020",3,26
2020-09-07,2,1,1,Cobra Kai,TV Show,,"Aug 28, 2020",10,99
2020-09-08,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",4,36
2020-09-08,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",11,108
2020-09-09,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",5,46
2020-09-09,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",12,117
2020-09-10,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",6,56
2020-09-10,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",13,126
2020-09-11,1,1,-,Away,TV Show,Yes,"Sep 4, 2020",7,66
2020-09-11,2,-,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",1,9
2020-09-12,1,1,4,Away,TV Show,Yes,"Sep 4, 2020",8,76
2020-09-12,2,2,-,The Babysitter: Killer Queen,Movie,Yes,"Sep 10, 2020",2,18
2020-09-13,1,1,2,Away,TV Show,Yes,"Sep 4, 2020",9,86
2020-09-13,2,4,-,Pets United,Movie,Yes,"Sep 11, 2020",2,16
2020-09-14,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",10,96
2020-09-14,2,2,-,Pets United,Movie,Yes,"Sep 11, 2020",3,25
2020-09-15,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",11,106
2020-09-15,2,2,-,Pets United,Movie,Yes,"Sep 11, 2020",4,34
2020-09-16,1,1,1,Away,TV Show,Yes,"Sep 4, 2020",12,116
2020-09-16,2,3,2,Cobra Kai,TV Show,,"Aug 28, 2020",19,174
2020-09-17,1,-,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",1,10
2020-09-17,2,1,1,Away,TV Show,Yes,"Sep 4, 2020",13,125
2020-09-18,1,1,-,The Devil All the Time,Movie,Yes,"Sep 16, 2020",2,20
2020-09-18,2,2,1,Away,TV Show,Yes,"Sep 4, 2020",14,134
2020-09-19,1,-,-,Ratched,TV Show,Yes,"Sep 18, 2020",1,10
2020-09-19,2,-,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",1,9
2020-09-20,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",2,20
2020-09-20,2,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",2,18
2020-09-21,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",3,30
2020-09-21,2,3,-,The Take,Movie,,"Sep 16, 2020",4,24
2020-09-22,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",4,40
2020-09-22,2,3,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",4,35
2020-09-23,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",5,50
2020-09-23,2,2,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",5,44
2020-09-24,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",6,60
2020-09-24,2,-,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",1,9
2020-09-25,1,1,-,Ratched,TV Show,Yes,"Sep 18, 2020",7,70
2020-09-25,2,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",2,18
2020-09-26,1,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",3,28
2020-09-26,2,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",8,79
2020-09-27,1,1,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",4,38
2020-09-27,2,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",9,88
2020-09-28,1,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",10,98
2020-09-28,2,1,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",5,47
2020-09-29,1,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",11,108
2020-09-29,2,2,-,Enola Holmes,Movie,Yes,"Sep 23, 2020",6,56
2020-09-30,1,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",12,118
2020-09-30,2,4,-,Bad Teacher,Movie,,"Sep 27, 2020",3,21
2020-10-01,1,-,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",1,10
2020-10-01,2,1,1,Ratched,TV Show,Yes,"Sep 18, 2020",13,127
2020-10-02,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",2,20
2020-10-02,2,2,1,Ratched,TV Show,Yes,"Sep 18, 2020",14,136
2020-10-03,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",3,30
2020-10-03,2,2,2,Ratched,TV Show,Yes,"Sep 18, 2020",15,145
2020-10-04,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",4,40
2020-10-04,2,4,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",2,16
2020-10-05,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",5,50
2020-10-05,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",3,25
2020-10-06,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",6,60
2020-10-06,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",4,34
2020-10-07,1,1,-,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",7,70
2020-10-07,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",5,43
2020-10-08,1,-,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",1,10
2020-10-08,2,1,1,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",8,79
2020-10-09,1,1,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",2,20
2020-10-09,2,2,1,American Murder: The Family…,Movie,Yes,"Sep 30, 2020",9,88
2020-10-10,1,1,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",3,30
2020-10-10,2,-,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",1,9
2020-10-11,1,2,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",2,19
2020-10-11,2,1,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",4,39
2020-10-12,1,1,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",3,29
2020-10-12,2,2,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",5,48
2020-10-13,1,1,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",4,39
2020-10-13,2,2,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",6,57
2020-10-14,1,1,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",5,49
2020-10-14,2,2,-,Hubie Halloween,Movie,Yes,"Oct 7, 2020",7,66
2020-10-15,1,1,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",6,59
2020-10-15,2,2,1,Hubie Halloween,Movie,Yes,"Oct 7, 2020",8,75
2020-10-16,1,1,-,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",7,69
2020-10-16,2,2,1,Hubie Halloween,Movie,Yes,"Oct 7, 2020",9,84
2020-10-17,1,1,2,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",8,79
2020-10-17,2,2,1,Hubie Halloween,Movie,Yes,"Oct 7, 2020",10,93
2020-10-18,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",9,89
2020-10-18,2,2,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",11,102
2020-10-19,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",10,99
2020-10-19,2,2,2,Hubie Halloween,Movie,Yes,"Oct 7, 2020",12,111
2020-10-20,1,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",11,109
2020-10-20,2,-,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",23,167
2020-10-21,1,2,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",24,177
2020-10-21,2,1,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",12,118
2020-10-22,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",25,187
2020-10-22,2,2,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",13,127
2020-10-23,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",26,197
2020-10-23,2,2,1,The Haunting of Bly Manor,TV Show,Yes,"Oct 9, 2020",14,136
2020-10-24,1,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",27,207
2020-10-24,2,4,-,My Next Guest Needs No Intr…,TV Show,Yes,"Jan 12, 2018",3,23
2020-10-25,1,10,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",2,11
2020-10-25,2,1,-,Unsolved Mysteries,TV Show,Yes,"Jul 1, 2020",28,216
2020-10-26,1,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",3,21
2020-10-26,2,3,-,Over the Moon,Movie,Yes,"Oct 23, 2020",3,25
2020-10-27,1,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",4,31
2020-10-27,2,3,-,Barbarians,TV Show,Yes,"Oct 23, 2020",4,28
2020-10-28,1,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",5,41
2020-10-28,2,2,-,Barbarians,TV Show,Yes,"Oct 23, 2020",5,37
2020-10-29,1,-,-,Holidate,Movie,Yes,"Oct 28, 2020",1,10
2020-10-29,2,1,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",6,50
2020-10-30,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",2,20
2020-10-30,2,2,-,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",7,59
2020-10-31,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",3,30
2020-10-31,2,2,10,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",8,68
2020-11-01,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",4,40
2020-11-01,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",9,77
2020-11-02,1,1,-,Holidate,Movie,Yes,"Oct 28, 2020",5,50
2020-11-02,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",10,86
2020-11-03,1,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",11,96
2020-11-03,2,1,-,Holidate,Movie,Yes,"Oct 28, 2020",6,59
2020-11-04,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",12,106
2020-11-04,2,2,-,Holidate,Movie,Yes,"Oct 28, 2020",7,68
2020-11-05,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",13,116
2020-11-05,2,3,-,Knock Knock,Movie,,"Nov 1, 2020",3,25
2020-11-06,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",14,126
2020-11-06,2,-,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",1,9
2020-11-07,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",15,136
2020-11-07,2,2,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",2,18
2020-11-08,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",16,146
2020-11-08,2,2,-,Operation Christmas Drop,Movie,Yes,"Nov 5, 2020",3,27
2020-11-09,1,1,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",17,156
2020-11-09,2,3,-,The Impossible,Movie,,"Nov 1, 2020",4,26
2020-11-10,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",18,166
2020-11-10,2,2,-,The Impossible,Movie,,"Nov 1, 2020",5,35
2020-11-11,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",19,176
2020-11-11,2,2,-,The Impossible,Movie,,"Nov 1, 2020",6,44
2020-11-12,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",20,186
2020-11-12,2,5,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",2,15
2020-11-13,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",21,196
2020-11-13,2,2,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",3,24
2020-11-14,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",22,206
2020-11-14,2,2,-,Dash & Lily,TV Show,Yes,"Nov 10, 2020",4,33
2020-11-15,1,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",23,216
2020-11-15,2,-,-,Jingle Jangle: A Christmas …,Movie,Yes,"Nov 13, 2020",1,9
2020-11-16,1,-,-,The Crown,TV Show,Yes,"Nov 4, 2016",1,10
2020-11-16,2,1,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",24,225
2020-11-17,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",2,20
2020-11-17,2,2,1,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",25,234
2020-11-18,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",3,30
2020-11-18,2,-,-,Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,"Nov 17, 2020",1,9
2020-11-19,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",4,40
2020-11-19,2,2,-,Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,"Nov 17, 2020",2,18
2020-11-20,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",5,50
2020-11-20,2,-,-,The Princess Switch: Switch…,Movie,Yes,"Nov 19, 2020",1,9
2020-11-21,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",6,60
2020-11-21,2,2,-,The Princess Switch: Switch…,Movie,Yes,"Nov 19, 2020",2,18
2020-11-22,1,1,-,The Crown,TV Show,Yes,"Nov 4, 2016",7,70
2020-11-22,2,3,-,Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,"Nov 17, 2020",5,43
2020-11-23,1,1,1,The Crown,TV Show,Yes,"Nov 4, 2016",8,80
2020-11-23,2,2,-,Kevin Hart: Zero F**ks Given,Stand-Up Comedy,Yes,"Nov 17, 2020",6,52
2020-11-24,1,1,1,The Crown,TV Show,Yes,"Nov 4, 2016",9,90
2020-11-24,2,3,2,The Queenâs Gambit,TV Show,Yes,"Oct 23, 2020",32,288
2020-11-25,1,-,-,Hillbilly Elegy,Movie,Yes,"Nov 24, 2020",1,10
2020-11-25,2,1,1,The Crown,TV Show,Yes,"Nov 4, 2016",10,99
2020-11-26,1,-,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",1,10
2020-11-26,2,1,-,Hillbilly Elegy,Movie,Yes,"Nov 24, 2020",2,19
2020-11-27,1,1,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",2,20
2020-11-27,2,2,-,Hillbilly Elegy,Movie,Yes,"Nov 24, 2020",3,28
2020-11-28,1,1,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",3,30
2020-11-28,2,-,-,Virgin River,TV Show,Yes,"Dec 6, 2019",1,9
2020-11-29,1,2,-,Virgin River,TV Show,Yes,"Dec 6, 2019",2,19
2020-11-29,2,1,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",4,39
2020-11-30,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",3,29
2020-11-30,2,2,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",5,48
2020-12-01,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",4,39
2020-12-01,2,2,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",6,57
2020-12-02,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",5,49
2020-12-02,2,3,-,The 2nd,Movie,,"Nov 30, 2020",2,17
2020-12-03,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",6,59
2020-12-03,2,6,-,Peppermint,Movie,,"Dec 1, 2020",2,14
2020-12-04,1,1,-,Virgin River,TV Show,Yes,"Dec 6, 2019",7,69
2020-12-04,2,2,-,Peppermint,Movie,,"Dec 1, 2020",3,23
2020-12-05,1,-,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",1,10
2020-12-05,2,-,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",1,9
2020-12-06,1,1,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",2,20
2020-12-06,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",2,18
2020-12-07,1,1,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",3,30
2020-12-07,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",3,27
2020-12-08,1,1,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",4,40
2020-12-08,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",4,36
2020-12-09,1,1,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",5,50
2020-12-09,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",5,45
2020-12-10,1,1,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",6,60
2020-12-10,2,2,-,Big Mouth,TV Show,Yes,"Sep 29, 2017",6,54
2020-12-11,1,3,-,Ava,Movie,,"Dec 7, 2020",4,30
2020-12-11,2,1,-,Selena: The Series,TV Show,Yes,"Dec 4, 2020",7,69
2020-12-12,1,1,-,Ava,Movie,,"Dec 7, 2020",5,40
2020-12-12,2,4,-,Manhunt: Deadly Games,TV Show,,"Dec 7, 2020",3,21
2020-12-13,1,1,-,Ava,Movie,,"Dec 7, 2020",6,50
2020-12-13,2,5,-,The Prom,Movie,Yes,"Dec 11, 2020",2,15
2020-12-14,1,1,-,Ava,Movie,,"Dec 7, 2020",7,60
2020-12-14,2,2,-,The Prom,Movie,Yes,"Dec 11, 2020",3,24
2020-12-15,1,-,-,A California Christmas,Movie,Yes,"Dec 14, 2020",1,10
2020-12-15,2,3,-,Manhunt: Deadly Games,TV Show,,"Dec 7, 2020",6,46
2020-12-16,1,1,-,A California Christmas,Movie,Yes,"Dec 14, 2020",2,20
2020-12-16,2,2,-,Manhunt: Deadly Games,TV Show,,"Dec 7, 2020",7,55
2020-12-17,1,1,-,A California Christmas,Movie,Yes,"Dec 14, 2020",3,30
2020-12-17,2,2,6,Manhunt: Deadly Games,TV Show,,"Dec 7, 2020",8,64
2020-12-18,1,1,-,A California Christmas,Movie,Yes,"Dec 14, 2020",4,40
2020-12-18,2,3,-,Tiny Pretty Things,TV Show,Yes,"Dec 14, 2020",3,25
2020-12-19,1,-,-,Ma Raineyâs Black Bottom,Movie,Yes,"Dec 18, 2020",1,10
2020-12-19,2,1,-,A California Christmas,Movie,Yes,"Dec 14, 2020",5,49
2020-12-20,1,1,-,Ma Raineyâs Black Bottom,Movie,Yes,"Dec 18, 2020",2,20
2020-12-20,2,2,-,A California Christmas,Movie,Yes,"Dec 14, 2020",6,58
2020-12-21,1,1,-,Ma Raineyâs Black Bottom,Movie,Yes,"Dec 18, 2020",3,30
2020-12-21,2,3,4,How the Grinch Stole Christmas,Movie,,"Jun 1, 2017",22,86
2020-12-22,1,2,7,How the Grinch Stole Christmas,Movie,,"Jun 1, 2017",23,96
2020-12-22,2,-,-,"Ariana Grande: Excuse Me, I…",Concert/Perf…,Yes,"Dec 21, 2020",1,9
2020-12-23,1,-,-,After We Collided,Movie,,"Dec 22, 2020",1,10
2020-12-23,2,1,7,How the Grinch Stole Christmas,Movie,,"Jun 1, 2017",24,105
2020-12-24,1,-,-,The Midnight Sky,Movie,Yes,"Dec 23, 2020",1,10
2020-12-24,2,1,-,After We Collided,Movie,,"Dec 22, 2020",2,19
2020-12-25,1,1,-,The Midnight Sky,Movie,Yes,"Dec 23, 2020",2,20
2020-12-25,2,3,6,How the Grinch Stole Christmas,Movie,,"Jun 1, 2017",26,122
2020-12-26,1,1,-,The Midnight Sky,Movie,Yes,"Dec 23, 2020",3,30
2020-12-26,2,2,5,How the Grinch Stole Christmas,Movie,,"Jun 1, 2017",27,131
2020-12-27,1,1,-,The Midnight Sky,Movie,Yes,"Dec 23, 2020",4,40
2020-12-27,2,3,-,Bridgerton,TV Show,Yes,"Dec 25, 2020",2,17
2020-12-28,1,2,-,Bridgerton,TV Show,Yes,"Dec 25, 2020",3,27
2020-12-28,2,1,-,The Midnight Sky,Movie,Yes,"Dec 23, 2020",5,49
2020-12-29,1,1,-,Bridgerton,TV Show,Yes,"Dec 25, 2020",4,37
2020-12-29,2,3,-,We Can Be Heroes,Movie,Yes,"Dec 25, 2020",4,32
2020-12-30,1,1,-,Bridgerton,TV Show,Yes,"Dec 25, 2020",5,47
2020-12-30,2,2,-,We Can Be Heroes,Movie,Yes,"Dec 25, 2020",5,41
2020-12-31,1,1,-,Bridgerton,TV Show,Yes,"Dec 25, 2020",6,57
2020-12-31,2,2,-,We Can Be Heroes,Movie,Yes,"Dec 25, 2020",6,50
2021-01-01,1,1,-,Bridgerton,TV Show,Yes,"Dec 25, 2020",7,67
2021-01-01,2,3,-,Death to 2020,Movie,Yes,"Dec 27, 2020",5,37
2021-01-02,1,-,-,Cobra Kai,TV Show,,"Aug 28, 2020",34,237
2021-01-02,2,1,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",8,76
2021-01-03,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",35,247
2021-01-03,2,2,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",9,85
2021-01-04,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",36,257
2021-01-04,2,2,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",10,94
2021-01-05,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",37,267
2021-01-05,2,2,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",11,103
2021-01-06,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",38,277
2021-01-06,2,2,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",12,112
2021-01-07,1,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",39,287
2021-01-07,2,2,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",13,121
2021-01-08,1,2,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",14,131
2021-01-08,2,1,-,Cobra Kai,TV Show,,"Aug 28, 2020",40,296
2021-01-09,1,1,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",15,141
2021-01-09,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",41,305
2021-01-10,1,1,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",16,151
2021-01-10,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",42,314
2021-01-11,1,1,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",17,161
2021-01-11,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",43,323
2021-01-12,1,1,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",18,171
2021-01-12,2,2,1,Cobra Kai,TV Show,,"Aug 28, 2020",44,332
2021-01-13,1,1,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",19,181
2021-01-13,2,3,-,Lupin,TV Show,Yes,"Jan 8, 2021",5,36
2021-01-14,1,1,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",20,191
2021-01-14,2,2,-,Lupin,TV Show,Yes,"Jan 8, 2021",6,45
2021-01-15,1,3,-,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",2,18
2021-01-15,2,1,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",21,200
2021-01-16,1,1,-,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",3,28
2021-01-16,2,-,-,Outside the Wire,Movie,Yes,"Jan 15, 2021",1,9
2021-01-17,1,2,-,Outside the Wire,Movie,Yes,"Jan 15, 2021",2,19
2021-01-17,2,1,-,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",4,37
2021-01-18,1,1,-,Outside the Wire,Movie,Yes,"Jan 15, 2021",3,29
2021-01-18,2,2,-,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",5,46
2021-01-19,1,1,-,Outside the Wire,Movie,Yes,"Jan 15, 2021",4,39
2021-01-19,2,2,-,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",6,55
2021-01-20,1,2,-,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",7,65
2021-01-20,2,1,-,Outside the Wire,Movie,Yes,"Jan 15, 2021",5,48
2021-01-21,1,1,3,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",8,75
2021-01-21,2,3,1,Bridgerton,TV Show,Yes,"Dec 25, 2020",27,249
2021-01-22,1,2,2,Bridgerton,TV Show,Yes,"Dec 25, 2020",28,259
2021-01-22,2,1,1,Night Stalker: The Hunt for…,TV Show,Yes,"Jan 13, 2021",9,84
2021-01-23,1,-,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",1,10
2021-01-23,2,5,-,Homefront,Movie,,"Jan 18, 2021",3,17
2021-01-24,1,1,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",2,20
2021-01-24,2,2,-,Homefront,Movie,,"Jan 18, 2021",4,26
2021-01-25,1,1,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",3,30
2021-01-25,2,2,-,Homefront,Movie,,"Jan 18, 2021",5,35
2021-01-26,1,1,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",4,40
2021-01-26,2,2,-,Homefront,Movie,,"Jan 18, 2021",6,44
2021-01-27,1,1,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",5,50
2021-01-27,2,4,-,The Next Three Days,Movie,,"Jan 22, 2021",2,16
2021-01-28,1,1,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",6,60
2021-01-28,2,2,-,The Next Three Days,Movie,,"Jan 22, 2021",3,25
2021-01-29,1,1,-,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",7,70
2021-01-29,2,2,-,The Next Three Days,Movie,,"Jan 22, 2021",4,34
2021-01-30,1,-,-,Below Zero,Movie,Yes,"Jan 29, 2021",1,10
2021-01-30,2,1,1,Fate: The Winx Saga,TV Show,Yes,"Jan 22, 2021",8,79
2021-01-31,1,1,-,Below Zero,Movie,Yes,"Jan 29, 2021",2,20
2021-01-31,2,6,-,Finding âOhana,Movie,Yes,"Jan 29, 2021",2,14
2021-02-01,1,1,-,Below Zero,Movie,Yes,"Jan 29, 2021",3,30
2021-02-01,2,2,-,Finding âOhana,Movie,Yes,"Jan 29, 2021",3,23
2021-02-02,1,1,-,Below Zero,Movie,Yes,"Jan 29, 2021",4,40
2021-02-02,2,4,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",39,346
2021-02-03,1,2,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",40,356
2021-02-03,2,1,-,Below Zero,Movie,Yes,"Jan 29, 2021",5,49
2021-02-04,1,-,-,Firefly Lane,TV Show,Yes,"Feb 3, 2021",1,10
2021-02-04,2,1,3,Bridgerton,TV Show,Yes,"Dec 25, 2020",41,365
